date,demand,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,TOR_heat,TOR_cold,OTT_heat,OTT_cold,HAM_heat,HAM_cold,ROS_heat,ROS_cold,LON_heat,LON_cold,POR_heat,POR_cold,OSH_heat,OSH_cold,WIN_heat,WIN_cold,BAR_heat,BAR_cold,KIL_heat,KIL_cold,KIN_heat,KIN_cold,GUE_heat,GUE_cold,PET_heat,PET_cold,THU_heat,THU_cold,BEL_heat,BEL_cold,CHA_heat,CHA_cold,SAR_heat,SAR_cold
2009-01-01,391706,0,0,0,0,1,0,0,0.0,38.0,0.0,41.5,0.0,38.5,0.0,42.0,0.0,33.0,0.0,32.0,0.0,37.5,0.0,32.0,0.0,43.4,0.0,35.9,0.0,38.4,0.0,39.7,0.0,42.6,0.0,41.2,0.0,38.0,0.0,32.0,0.0,34.3
2009-01-02,398441,1,0,0,0,0,0,0,0.0,27.0,0.0,39.5,0.0,26.7,0.0,28.0,0.0,26.7,0.0,26.4,0.0,29.0,0.0,24.0,0.0,26.5,0.0,29.7,0.0,28.7,0.0,27.1,0.0,28.1,0.0,44.8,0.0,30.0,0.0,30.0,0.0,28.3
2009-01-03,392559,0,0,1,0,0,0,0,0.0,28.0,0.0,34.7,0.0,31.4,0.0,26.0,0.0,29.1,0.0,24.8,0.0,29.0,0.0,28.0,0.0,36.3,0.0,33.9,0.0,32.2,0.0,35.7,0.0,33.0,0.0,46.5,0.0,29.5,0.0,28.666666666666664,0.0,31.6
2009-01-04,400256,0,0,0,1,0,0,0,0.0,35.0,0.0,36.7,0.0,31.6,0.0,31.0,0.0,28.7,0.0,26.8,0.0,34.0,0.0,24.5,0.0,39.4,0.0,34.7,0.0,35.1,0.0,35.7,0.0,36.9,0.0,42.1,0.0,35.0,0.0,27.333333333333332,0.0,28.3
2009-01-05,429761,0,1,0,0,0,0,0,0.0,25.0,0.0,31.5,0.0,28.7,0.0,26.5,0.0,27.8,0.0,22.7,0.0,26.0,0.0,26.0,0.0,34.5,0.0,29.2,0.0,26.9,0.0,31.7,0.0,30.4,0.0,52.2,0.0,27.0,0.0,26.0,0.0,28.6
2009-01-06,437388,0,0,0,0,0,1,0,0.0,33.5,0.0,32.8,0.0,31.4,0.0,36.0,0.0,33.9,0.0,26.6,0.0,29.0,0.0,31.0,0.0,31.8,0.0,32.7,0.0,26.7,0.0,36.1,0.0,32.7,0.0,51.8,0.0,26.0,0.0,29.0,0.0,32.6
2009-01-07,440518,0,0,0,0,0,0,1,0.0,22.5,0.0,31.5,0.0,21.9,0.0,23.5,0.0,23.5,0.0,22.0,0.0,32.0,0.0,22.5,0.0,27.4,0.0,30.3,0.0,26.1,0.0,23.5,0.0,26.9,0.0,32.7,0.0,26.0,0.0,22.0,0.0,23.2
2009-01-08,441335,0,0,0,0,1,0,0,0.0,27.0,0.0,31.8,0.0,30.5,0.0,28.0,0.0,30.9,0.0,23.4,0.0,29.0,0.0,24.5,0.0,34.9,0.0,34.5,0.0,33.3,0.0,34.0,0.0,34.2,0.0,40.9,0.0,30.0,0.0,25.0,0.0,26.4
2009-01-09,447435,1,0,0,0,0,0,0,0.0,34.0,0.0,35.7,0.0,31.3,0.0,38.0,0.0,36.0,0.0,26.4,0.0,34.0,0.0,27.5,0.0,44.1,0.0,36.8,0.0,41.2,0.0,39.2,0.0,41.7,0.0,50.7,0.0,39.0,0.0,30.0,0.0,33.5
2009-01-10,429275,0,0,1,0,0,0,0,0.0,36.5,0.0,44.6,0.0,32.9,0.0,41.5,0.0,35.7,0.0,27.2,0.0,39.0,0.0,26.0,0.0,45.1,0.0,34.9,0.0,45.2,0.0,38.9,0.0,46.8,0.0,47.9,0.0,42.0,0.0,31.5,0.0,31.9
2009-01-11,415838,0,0,0,1,0,0,0,0.0,36.0,0.0,37.5,0.0,35.0,0.0,38.0,0.0,37.6,0.0,26.6,0.0,34.0,0.0,31.0,0.0,39.5,0.0,33.5,0.0,34.5,0.0,38.7,0.0,34.5,0.0,36.3,0.0,42.0,0.0,33.0,0.0,31.4
2009-01-12,446830,0,1,0,0,0,0,0,0.0,30.0,0.0,34.7,0.0,32.0,0.0,34.0,0.0,30.7,0.0,28.8,0.0,36.0,0.0,31.5,0.0,37.9,0.0,29.0,0.0,37.5,0.0,37.4,0.0,40.1,0.0,44.2,0.0,39.5,0.0,34.5,0.0,35.7
2009-01-13,452281,0,0,0,0,0,1,0,0.0,26.5,0.0,29.5,0.0,36.4,0.0,30.0,0.0,34.5,0.0,29.3,0.0,26.0,0.0,26.0,0.0,43.5,0.0,43.9,0.0,25.7,0.0,37.9,0.0,41.7,0.0,52.3,0.0,31.5,0.0,26.0,0.0,34.5
2009-01-14,485347,0,0,0,0,0,0,1,0.0,44.5,0.0,47.2,0.0,42.3,0.0,45.0,0.0,41.8,0.0,33.1,0.0,45.0,0.0,38.5,0.0,52.1,0.0,46.9,0.0,45.0,0.0,47.6,0.0,48.0,0.0,51.1,0.0,44.0,0.0,44.0,0.0,40.1
2009-01-15,487737,0,0,0,0,1,0,0,0.0,40.5,0.0,50.8,0.0,38.9,0.0,49.0,0.0,43.4,0.0,32.0,0.0,39.5,0.0,37.5,0.0,51.4,0.0,46.8,0.0,44.2,0.0,48.4,0.0,46.9,0.0,50.9,0.0,43.0,0.0,42.0,0.0,37.7
2009-01-16,487318,1,0,0,0,0,0,0,0.0,41.0,0.0,51.0,0.0,39.3,0.0,42.0,0.0,41.3,0.0,33.8,0.0,39.0,0.0,43.5,0.0,44.4,0.0,46.4,0.0,48.1,0.0,39.8,0.0,48.2,0.0,49.1,0.0,44.5,0.0,45.0,0.0,41.2
