region,2016,2011,daily_stn,hourly_stn
Toronto,5928040,5583064,TORONTO NORTH YORK,TORONTO INTL A
Ottawa,991726,936908,OTTAWA CDA,OTTAWA CDA RCS
Hamilton,747545,721053,HAMILTON RBG CS,HAMILTON A
Kitchener - Cambridge - Waterloo - Brantford,658097,631884,ROSEVILLE,KITCHENER WATERLOO
London,494069,474786,LONDON CS,LONDON A
St. Catharines - Niagara,406074,392184,PORT WELLER (AUT),ST CATHARINES A
Oshawa,379848,356177,OSHAWA WPCP,OSHAWA
Windsor,329144,319246,WINDSOR RIVERSIDE,WINDSOR A
Barrie,197059,187013,BARRIE-ORO,BARRIE-ORO
Greater Sudbury,164689,163067,KILLARNEY (AUT),SUDBURY A
Kingston,161175,159561,KINGSTON CLIMATE,KINGSTON A
Guelph,151984,141097,GUELPH TURFGRASS,
Peterborough,121721,118975,PETERBOROUGH TRENT U,
Thunder Bay,121621,121596,THUNDER BAY CS,
Belleville,103472,101668,BELLEVILLE,
Chatham-Kent,102042,104075,CHATHAM WPCP,
Sarnia,96151,97131,SARNIA CLIMATE,
